#separator:Semicolon
#html:true
#tags column:3
#columns:Text;Extra;Tags
#notetype:_Cloze - DecEyeStrain
<b>MAC (minimum alveolar concentration)</b> is the alveolar concentration preventing purposeful movement to a surgical stimulus in {{c1::<u>50%</u>}} of subjects, measured in O2 at {{c2::<u>1 atmosphere</u>}}.;;anzca::primary::anaesthetic_agents::inhalational anzca::code::BT_GS_1.50
<b>MAC required for surgery</b> without adjuncts is {{c1::<u>1.2–1.3 MAC</u>}}, which prevents movement in approximately {{c2::<u>95%</u>}} of patients.;;anzca::primary::anaesthetic_agents::inhalational anzca::code::BT_GS_1.50
<b>MAC</b> is a {{c1::<u>spinal reflex</u>}} endpoint located at the {{c2::<u>dorsal horn</u>}}, not a cortical one. <i>Explains why opioids are MAC-sparing.</i>;;anzca::primary::anaesthetic_agents::inhalational anzca::code::BT_GS_1.50
<b>Opioids</b> reduce MAC by {{c1::<u>50–70%</u>}} via mu-receptor action at the dorsal horn, blunting the nociceptive afferent arc.;;anzca::primary::anaesthetic_agents::inhalational anzca::code::BT_GS_1.50
An agent with a <b>high blood:gas coefficient</b> (high solubility) has {{c1::<u>slow</u>}} onset; a <b>low blood:gas coefficient</b> produces {{c2::<u>fast</u>}} onset. <i>Blood drains the alveolus when solubility is high, keeping FA low.</i>;;anzca::primary::anaesthetic_agents::inhalational anzca::code::BT_GS_1.24
<b>End-tidal concentration</b> is a reliable surrogate for brain concentration because brain tension approaches alveolar tension within {{c1::<u>8–10 minutes</u>}} of any change.;;anzca::primary::anaesthetic_agents::inhalational anzca::code::BT_GS_1.24
In a <b>low cardiac output state</b>, ↓ CO → ↓ alveolar drainage → {{c1::<u>↑ FA</u>}} → {{c2::<u>deeper anaesthesia</u>}} than expected at a given vaporiser setting.;<i>Reduce vaporiser setting proactively in shocked or low-CO patients.</i>;anzca::primary::anaesthetic_agents::inhalational anzca::code::BT_GS_1.24
<b>Isoflurane</b> MAC is {{c1::<u>1.15%</u>}}.;;anzca::primary::anaesthetic_agents::inhalational anzca::code::BT_GS_1.28
<b>Isoflurane</b> has a {{c1::<u>pungent</u>}} odour and is an airway irritant; it is {{c2::<u>not suitable</u>}} for inhalational induction.;;anzca::primary::anaesthetic_agents::inhalational anzca::code::BT_GS_1.28
<b>Isoflurane</b> causes ↓ MAP via ↓ {{c1::<u>SVR</u>}}, with cardiac output {{c2::<u>relatively preserved</u>}} and minimal myocardial depressant effect.;;anzca::primary::anaesthetic_agents::inhalational anzca::code::BT_GS_1.25
<b>Isoflurane</b> ↓ {{c1::<u>cerebral metabolic rate</u>}} with minimal change in CBF or ICP, making it useful in {{c2::<u>neurosurgery</u>}}.;;anzca::primary::anaesthetic_agents::inhalational anzca::code::BT_GS_1.25
<b>Sevoflurane</b> MAC is {{c1::<u>~2%</u>}}.;;anzca::primary::anaesthetic_agents::inhalational anzca::code::BT_GS_1.28
<b>Sevoflurane</b> has a pleasant smell and minimal airway irritation — it is the {{c1::<u>preferred agent</u>}} for inhalational (gas) induction.;;anzca::primary::anaesthetic_agents::inhalational anzca::code::BT_GS_1.28
