#separator:Semicolon
#html:true
#tags column:3
#columns:Text;Extra;Tags
#notetype:_Cloze - DecEyeStrain
<b>Pulse oximetry</b> uses {{c1::<u>red and infrared</u>}} light transmitted through a translucent tissue bed to differentiate oxyHb from deoxyHb based on {{c2::<u>differential light absorption</u>}}.;Signal is filtered to isolate pulsatile changes in light absorption.;anzca::primary::physics anzca::code::BT_SQ_1.6
An SpO<sub>2</sub> of {{c1::<u>90%</u>}} corresponds to a PaO<sub>2</sub> of {{c2::<u>~60mmHg</u>}} — the shoulder of the oxyHb dissociation curve.;Below this point, small ↓ SpO2 → large ↓ PaO2.;anzca::primary::respiratory::physiology::gas_transport anzca::code::BT_PO_1.31
A <b>right shift</b> of the oxyHb dissociation curve indicates {{c1::<u>↓ Hb–O2 affinity</u>}}, resulting in {{c2::<u>↑ O2 delivery to tissues</u>}}. <i>Causes: ↑ H+, ↑ temp, ↑ PaCO2, ↑ 2,3-DPG.</i>;;anzca::primary::respiratory::physiology::gas_transport anzca::code::BT_PO_1.31
During intraoperative monitoring, <b>leads {{c1::<u>II and V5</u>}}</b> are monitored concurrently to detect LV ischaemia.;;anzca::primary::cardiovascular::physiology::electrical anzca::code::BT_PO_1.43
Leads II and V5 together detect {{c1::<u>>85%</u>}} of ischaemic events affecting the <b>LV</b> during surgery.;Lead V5 is the best lateral lead for the anterior and lateral left ventricle, lead II is best for RCA territory;anzca::primary::cardiovascular::physiology::electrical anzca::code::BT_PO_1.43
A <b>CVP catheter</b> estimates {{c1::<u>right atrial and RV pressures</u>}}, reflecting {{c2::<u>RV preload</u>}}.;Less reliable as surrogate for LV filling or fluid responsiveness in isolation.;anzca::primary::physics anzca::code::BT_SQ_1.6
The <b>pulmonary artery wedge pressure (PCWP)</b>, also called PAOP, reflects {{c1::<u>left atrial filling pressure</u>}}.;Measured by inflating balloon at PAC tip to occlude the proximal pulmonary artery and record distal pressure.;anzca::primary::physics anzca::code::BT_SQ_1.6
Normal <b>ETCO2</b> is {{c1::<u>33–45mmHg</u>}}.;;anzca::primary::physics anzca::code::BT_SQ_1.6
During GA, the <b>PaCO2–ETCO2 gradient</b> is typically {{c1::<u>~5mmHg</u>}}.;ETCO2 35mmHg ≈ PaCO2 40mmHg in absence of V/Q mismatch or sampling error.;anzca::primary::physics anzca::code::BT_SQ_1.6
The <b>BIS monitor</b> provides a number on a scale of {{c1::<u>0</u>}} (isoelectric EEG) to {{c2::<u>100</u>}} (fully awake).;;anzca::primary::physics anzca::code::BT_GS_1.52
The target <b>BIS value</b> for general anaesthesia is {{c1::<u>40–60</u>}}.;;anzca::primary::physics anzca::code::BT_GS_1.52
The <b>BIS monitor</b> analyses the {{c1::<u>EEG</u>}} signal via a complex algorithm to produce a single number representing anaesthetic depth.;;anzca::primary::physics anzca::code::BT_GS_1.52
Train-of-four (TOF) consists of {{c1::<u>4</u>}} stimuli each separated by {{c2::<u>0.5sec</u>}}. <i>The ratio of 4th to 1st twitch height = TOF ratio.</i>;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
The <b>TOF ratio</b> is calculated as {{c1::<u>T4/T1</u>}} (height of 4th twitch divided by height of 1st twitch).;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
A TOF ratio of {{c1::<u><0.7</u>}} indicates {{c2::<u>non-depolarising block present</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
Adequate recovery from neuromuscular blockade is defined as a TOF ratio of {{c1::<u>≥0.9</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
<b>MAP</b> = {{c1::<u>DBP + ⅓(SBP – DBP)</u>::formula}};;anzca::primary::physics anzca::code::BT_SQ_1.6
Urine output under GA without a fluid load is {{c1::<u>negligible</u>}} — surgical stress ↑ aldosterone, ADH, renin–angiotensin II, and ANP → salt and water retention.;;anzca::primary::renal::physiology anzca::code::BT_PO_1.71
