#separator:Semicolon
#html:true
#tags column:3
#columns:Text;Extra;Tags
#notetype:_Cloze - DecEyeStrain
<b>Peripheral nerve stimulation (TOF)</b> provides objective NMB assessment — electrical stimulus → muscle contraction proportional to {{c1::<u>available (unblocked) nicotinic ACh receptors</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
<b>Excessive/prolonged NMBA paralysis</b> risks {{c1::<u>ICU-acquired weakness</u>}} and delayed recovery — use the {{c2::<u>lowest</u>}} NMBA dose achieving the clinical goal.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
The <b>Train-of-Four</b> delivers 4 electrical stimuli over approximately {{c1::<u>1.5 seconds</u>}}, with a {{c2::<u>0.5-second</u>}} interval between stimuli and a pulse duration of {{c3::<u>0.2 ms</u>}}. <i>Assess twitch count (0–4) and fade (T1→T4).</i>;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
<b>Ulnar nerve TOF stimulation</b> produces contraction of {{c1::<u>adductor pollicis</u>}}, causing {{c2::<u>thumb adduction</u>}}. <i>Preferred site — lowest risk of direct muscle stimulation.</i>;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
For <b>ulnar nerve TOF</b>, the distal negative (−) electrode is placed {{c1::<u>over the nerve at the wrist crease</u>}} and the proximal positive (+) electrode {{c2::<u>≥2cm proximal</u>}}.;Black (−) distal, red (+) proximal — standard polarity for all TOF sites;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
For TOF monitoring, the <b>facial nerve</b> ({{c1::<u>temporal</u>}} branch) produces contraction of {{c2::<u>corrugator supercilii</u>}} (eyebrow movement). <i>More susceptible to direct muscle stimulation than ulnar nerve.</i>;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
For <b>facial nerve TOF</b>, the distal negative (−) electrode is placed at the {{c1::<u>lateral canthus</u>}} and the proximal positive (+) electrode {{c2::<u>~2cm inferior, near the tragus</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
The <b>posterior tibial nerve</b> for TOF is found {{c1::<u>posterior to the medial malleolus</u>}} and activates {{c2::<u>flexor hallucis brevis</u>}}, producing {{c3::<u>great toe plantar flexion</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
Electrode spacing for <b>TOF monitoring</b> should be at least {{c1::<u>2.5 cm</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
Skin preparation for <b>TOF electrode placement</b>: {{c1::<u>clip hair, clean with alcohol, use gel electrodes</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
Electrolyte disturbances that alter <b>TOF response</b>: {{c1::<u>↓K⁺, ↓Ca²⁺, ↑Mg²⁺</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.55
