#separator:Semicolon
#html:true
#tags column:3
#columns:Text;Extra;Tags
#notetype:_Cloze - DecEyeStrain
Depolarising NMBAs are {{c1::<u>agonists</u>}} at nicotinic ACh receptors → {{c2::<u>persistent depolarisation</u>}} → paralysis. Initial receptor activation causes {{c3::<u>fasciculations</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.36 anzca::code::BT_GS_1.37
Non-depolarising NMBAs are {{c1::<u>competitive antagonists</u>}} at nicotinic ACh receptors → prevent depolarisation, with {{c2::<u>no initial activation</u>}} (unlike depolarising agents).;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.36 anzca::code::BT_GS_1.37
<b>Suxamethonium</b>: onset ~{{c1::<u>60 seconds</u>}}; spontaneous breathing returns at ~{{c2::<u>4–5 minutes</u>}}; full recovery at {{c3::<u>10–12 minutes</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.36 anzca::code::BT_GS_1.37
<b>Suxamethonium</b> is given by {{c1::<u>IV bolus only</u>}} — not as an infusion.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.36
<b>Suxamethonium</b> causes a transient {{c1::<u>↑ serum K⁺</u>}} due to initial nicotinic receptor activation → depolarisation of muscle membranes.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.38
<b>Suxamethonium</b> is safe within the first {{c1::<u>24 hours</u>}} post-injury, before significant nicotinic ACh receptor {{c2::<u>upregulation</u>}} occurs.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.38
In burns, denervation, and neuromuscular disease, <b>suxamethonium</b> is contraindicated because upregulated ACh receptors → {{c1::<u>massive K⁺ release</u>}} → potentially fatal {{c2::<u>arrhythmias</u>}}. <i>Due to ACh receptor upregulation, not the normal transient K+ rise.</i>;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.38
Non-depolarising NMBAs are classified structurally as {{c1::<u>aminosteroids</u>}} (rocuronium, vecuronium, pancuronium) or {{c2::<u>benzylisoquinoliniums</u>}} (atracurium, cisatracurium).;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.37
<b>Rocuronium</b> has the {{c1::<u>fastest onset</u>}} of non-depolarising agents and is used as an alternative to suxamethonium for {{c2::<u>RSI</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.37 anzca::code::BT_GS_1.37a
<b>Rocuronium</b>: onset {{c1::<u>1–3 minutes</u>}}, duration {{c2::<u>30–90 minutes</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.36
<b>Rocuronium</b> doses: bolus {{c1::<u>0.6 mg/kg IV</u>}}, infusion {{c2::<u>0.6–0.9 mg/kg/hr</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.36
<b>Vecuronium</b> is approximately {{c1::<u>6×</u>}} more potent than rocuronium and has a {{c2::<u>shorter</u>}} duration.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.37
<b>Vecuronium</b>: onset {{c1::<u>3–4 minutes</u>}}, duration {{c2::<u>35–45 minutes</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.36
<b>Vecuronium</b> doses: bolus {{c1::<u>0.1 mg/kg IV</u>}}, infusion {{c2::<u>0.05–0.1 mg/kg/hr</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.36
<b>Atracurium</b> undergoes {{c1::<u>Hofmann elimination</u>}} — organ-independent metabolism making it suitable in {{c2::<u>liver and renal failure</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.36 anzca::code::BT_GS_1.37
Atracurium's Hofmann elimination is affected by {{c1::<u>temperature</u>}} and {{c2::<u>pH</u>}}. <i>Hypothermia and acidosis slow elimination.</i>;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.36
<b>Atracurium</b> causes {{c1::<u>histamine release</u>}} → hypotension, tachycardia, flushing. <i>Direct pharmacological effect — not anaphylaxis.</i>;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.38
<b>Atracurium</b>: onset {{c1::<u>3–4 minutes</u>}}, duration {{c2::<u>35–45 minutes</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.36
<b>Cisatracurium</b> is an {{c1::<u>isomer of atracurium</u>}} with the same organ-independent (Hofmann) metabolism but {{c2::<u>minimal histamine release</u>}}. <i>Hence preferred over atracurium.</i>;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.37
<b>Cisatracurium</b>: onset {{c1::<u>5–7 minutes</u>}}, duration {{c2::<u>35–45 minutes</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.36
<b>Cisatracurium</b> doses: bolus {{c1::<u>0.15 mg/kg IV</u>}}, infusion {{c2::<u>0.15–0.2 mg/kg/hr</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.36
The preferred NMBA for {{c1::<u>ICU infusions</u>}} (e.g. ARDS) is {{c2::<u>cisatracurium</u>}} — organ-independent metabolism and minimal histamine release.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.47
<b>Pancuronium</b> is a {{c1::<u>long-acting</u>}} aminosteroid NMBA — duration {{c2::<u>60–120 minutes</u>}}. <i>Less commonly used due to prolonged effect.</i>;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.37
<b>Pancuronium</b>: onset {{c1::<u>2–4 minutes</u>}}, duration {{c2::<u>60–120 minutes</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.36
<b>Pancuronium</b> doses: bolus {{c1::<u>0.04–0.1 mg/kg IV</u>}}, infusion {{c2::<u>0.06–0.1 mg/kg/hr</u>}}.;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.36
<b>Pancuronium</b> causes {{c1::<u>tachycardia</u>}} due to {{c2::<u>vagolytic (vagotonic blockade)</u>}} activity. <i>Haemodynamically significant — note in cardiac patients.</i>;;anzca::primary::muscular::pharmacology anzca::code::BT_GS_1.38
